doc|surfaceForm|
3|North Country Media Group|
9|U.K. Institutions|
14|Volkswagen Ag VOWG.F|
16|Toronto Dominion Bank, Nassau Branch|
17|Salem, Ore|
17|Don Bybee and Associates|
24|International Monetary Fund (IMF)|
25|Alex. Brown and Sons Inc ABSB|
37|Federal Reserve|
40|Welsh, Carson, Anderson and Stowe|
45|U.N.s Food and Agriculture Organisation (FAO)|
51|International Business Machines Corp IBM|
82|Reuters Holdings Plc RTRS.L|
82|London Stock Exchanges|
83|Monobloc U.S.A.|
86|Senate Appropriations subcommittee hearing|
86|U.S. Ambassador to the Netherlands|
86|Wall Street Journal|
91|Montedisons Agro-Industrial|
109|Investment Canada|
109|Harcourt Canada|
109|Harcourt Canadas|
109|CBS Inc CBS|
110|New Jersey Hospital Association|
123|U.S. Senate Budget Committee|
